Web_link-href,Noon SKU,Product_Name,Brand_Name,Buy_Price,Low_Price,Sold_By
https://www.noon.com/uae-en/mi-360-1080p-camera/N48103029A/p/?o=f2ba3db27135fb0e,N48103029A,Mi 360° 1080P Camera,Xiaomi,AED 89.85 Inclusive of VAT,AED 98.95,noon
https://www.noon.com/uae-en/airfryer-with-stainless-steel-outer-body-4-l-1400-w-gla-309-mechanical-silver-black/N39295998A/p/?o=a4744863f83ca1de,N39295998A,Airfryer With Stainless Steel Outer Body 4 L 1400 W GLA-309 Mechanical - Silver/Black,noon east,AED 199.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/redmi-note-11-dual-sim-graphite-gray-6gb-ram-128gb-4g-lte-global-version/N52512042A/p/?o=b2fd5cce05422c8b,N52512042A,Redmi Note 11 Dual SIM Graphite Gray 6GB RAM 128GB 4G LTE - Global Version,Xiaomi,AED 659.00 Inclusive of VAT,AED 648.00,PhoneX
https://www.noon.com/uae-en/15-bar-espresso-coffee-making-machine-1-2-l-850-w-cm-8500a-gs-silver-black/N31981756A/p/?o=d14c5c36bd7b45ee,N31981756A,15-Bar Espresso Coffee Making Machine 1.2 L 850 W CM-8500A-GS Silver/Black,noon east,AED 139.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/f1s-dual-sim-golden-4gb-ram-32gb-4g-lte/N11046227A/p/?o=c821ec939cb1cdfc,N11046227A,F1s Dual SIM Golden 4GB RAM 32GB 4G LTE,OPPO,AED 239.00 Inclusive of VAT,AED 222.00,Ambitious Enterprises
https://www.noon.com/uae-en/watch-series-7-gps-45mm-aluminium-case-with-sport-band-starlight/N51220170A/p/?o=b2625916a97ab5fd,N51220170A,Watch Series 7 GPS 45mm Aluminium Case with Sport Band Starlight,Apple,AED 1449.00 Inclusive of VAT,AED 1470.00,noon
https://www.noon.com/uae-en/high-speed-off-road-bigfoot-climbing-remote-control-toy-car-for-ages-8-years-27x17x12cm/N20695089A/p/?o=a53aa1888b05dc0f,N20695089A,High-Speed Off-Road Bigfoot Climbing Remote Control Toy Car For Ages 8+ Years 27x17x12cm,LNKOO,AED 50.00 Inclusive of VAT,AED 42.00,LNKOO
https://www.noon.com/uae-en/canvio-basics-external-hard-drive-1-tb/N20457213A/p/?o=c5b18b1198bc562d,N20457213A,Canvio Basics External Hard Drive 1 TB,TOSHIBA,AED 155.00 Inclusive of VAT,AED 144.65,PhoneX
https://www.noon.com/uae-en/galaxy-watch-4-44-mm-black/N49976205A/p/?o=eef15686d422a15d,N49976205A,Galaxy Watch 4 44 mm Black,Samsung,AED 515.00 Inclusive of VAT,AED 515.00,Deals Central
https://www.noon.com/uae-en/healthy-mix-anti-fatigue-foundation-30-ml-51-light-vanilla/N11114329A/p/?o=dd093b7d736c845f,N11114329A,Healthy Mix Anti-Fatigue Foundation 30 ml 51 Light Vanilla,BOURJOIS PARIS,AED 26.25 Inclusive of VAT,null,Coty Official Store
https://www.noon.com/uae-en/smart-scale-c1-with-bluetooth/N33949658A/p/?o=b4df0f046b50a8bc,N33949658A,Smart Scale C1 with Bluetooth,eufy,AED 74.95 Inclusive of VAT,AED 78.50,Dar Alamana
https://www.noon.com/uae-en/florence-edp-75ml/N13134087A/p/?o=b756f5c8e363837a,N13134087A,Florence EDP 75ml,roberto cavalli,AED 119.00 Inclusive of VAT,AED 125.80,noon
https://www.noon.com/uae-en/peeling-solution-serum-red-30ml/N26595800A/p/?o=a71d006ec0f24ade,N26595800A,Peeling Solution Serum Red 30ml,The Ordinary,AED 35.50 Inclusive of VAT,AED 43.95,HairSkinCare
https://www.noon.com/uae-en/gelita-health-collagen-for-joint-and-cartilage-30-vials/N23978407A/p/?o=d7c3b7d27fd82e4c,N23978407A,Gelita Health Collagen For Joint And Cartilage - 30 Vials,Ch-Alpha,AED 180.00 Inclusive of VAT,AED 190.00,Our Own Pharmacy
https://www.noon.com/uae-en/handheld-wireless-deep-tissue-body-massager-black/N51883431A/p/?o=f3c9f8bcad14070c,N51883431A,Handheld Wireless Deep Tissue Body Massager black,Rock Pow,AED 33.00 Inclusive of VAT,AED 17.50,XIANGZHUWAN IMPAORT AND EXPORT FZCO
https://www.noon.com/uae-en/mt760-high-speed-foldable-electric-scooter-45km-h-109-x-15-x-52cm/N48140555A/p/?o=a5d69a152f723b0e,N48140555A,MT760 High Speed Foldable Electric Scooter 45km/h 109 x 15 x 52cm,MYTOYS,AED 799.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/drum-type-vacuum-cleaner-18-l-2100-w-cv950f-24cbs-wr-brown-red/N25553415A/p/?o=f5096c83d735570a,N25553415A,Drum Type Vacuum Cleaner 18 L 2100 W CV950F 24CBS WR Brown/Red,HITACHI,AED 359.00 Inclusive of VAT,AED 357.00,Dubai Electronics
https://www.noon.com/uae-en/pixel-6-sorta-seafoam-8gb-ram-128gb-5g-international-version/N51463111A/p/?o=d21f42c33518927b,N51463111A,Pixel 6 Sorta Seafoam 8GB RAM 128GB 5G - International Version,Google,AED 1799.00 Inclusive of VAT,AED 1849.00,callmate
https://www.noon.com/uae-en/watch-series-7-gps-45mm-aluminium-case-with-sport-band-midnight/N51219502A/p/?o=fc5306082fa50dcd,N51219502A,Watch Series 7 GPS 45mm Aluminium Case With Sport Band Midnight,Apple,AED 1499.00 Inclusive of VAT,AED 1440.00,MANGO PHONES
https://www.noon.com/uae-en/playstation-5-console-disc-version-with-controller/N40633047A/p/?o=e6baeb5d39093b5a,N40633047A,PlayStation 5 Console (Disc Version) With Controller,Sony,AED 2659.00 Inclusive of VAT,AED 2550.00,DG LAND
https://www.noon.com/uae-en/false-lash-x-fiber-01-mascara-extreme-black/N11073341A/p/?o=bbcda53c183aa0ba,N11073341A,False Lash X Fiber 01 Mascara Extreme Black,L'OREAL PARIS,AED 25.00 Inclusive of VAT,AED 35.20,noon
https://www.noon.com/uae-en/eternity-aqua-edt-3-4-fl-oz-100ml/N11201986A/p/?o=b117ea7e11df1c7f,N11201986A,Eternity Aqua EDT 3.4 Fl Oz/ 100ml,CALVIN KLEIN,AED 88.00 Inclusive of VAT,AED 89.20,noon
https://www.noon.com/uae-en/toy-digital-camera-with-32-gb-memory-card-and-card-reader/N31172073A/p/?o=b713f68660881d1f,N31172073A,Toy Digital Camera With 32 GB Memory Card And Card Reader,AMERTEER,AED 60.00 Inclusive of VAT,null,LNKOO
https://www.noon.com/uae-en/classic-edt-100ml/N11202757A/p/?o=c6a91cc11b2e14ee,N11202757A,Classic EDT 100ml,CARRERA,AED 22.50 Inclusive of VAT,AED 22.35,noon
https://www.noon.com/uae-en/grand-theft-auto-v-intl-version-action-shooter-ps4-ps5/N30107462A/p/?o=e8eb688afd2dc62c,N30107462A,Grand Theft Auto V - (Intl Version) - Action & Shooter - PS4/PS5,Rockstar Games,AED 67.00 Inclusive of VAT,AED 58.75,Rasengan
